species	NCBI.taxid	mass_kg	mass_db	lifespan_days	lifespan_db	length_cm	length_db	polymorphism_derived_Ne
Ostrea_edulis	37623	0.0146	EOL	5840	AnAge	4.4	EOL	NA
Otolemur_garnettii	30611	1.3	AnAge	7300	AnAge	79.7	EOL	NA
Ovis_ammon	30527	185	ADW	7300	ADW	190	ADW	NA
Ovis_aries	9940	200	ADW	8322	ADW;AnAge	180	ADW	NA
Owenia_fusiformis	6347	NA	NA	NA	NA	10	EOL	NA
Oxylabes_madagascariensis	98144	0.03	EOL	NA	NA	NA	NA	NA
Oxyruncus_cristatus	114331	0.046	EOL	NA	NA	NA	NA	NA
Oxyura_jamaicensis	8884	0.795	ADW	7300	AnAge	43	ADW	NA
Pachycephala_philippinensis	449367	0.0288	EOL	NA	NA	NA	NA	NA
Pachyramphus_minor	369605	0.044	EOL	NA	NA	NA	NA	NA
Pan_paniscus	9597	61	ADW	20075	AnAge	124	ADW	NA
Pan_troglodytes	9598	70	ADW	24820	AnAge	170	ADW text	16907.1082893523
Pandion_haliaetus	56262	2	ADW	11680	AnAge	58	ADW	NA
Pangasianodon_gigas	30993	350	EOL;fishbase	3650	EOL;fishbase	300	EOL;fishbase	NA
Pangasianodon_hypophthalmus	310915	44	fishbase	NA	NA	130	fishbase;EOL	NA
Pangasius_djambal	1691987	16	fishbase	NA	NA	90	EOL;fishbase	NA
Panthera_leo	9689	433.2	EOL	10950	ADW	330	ADW	NA
Panthera_pardus	9691	65	ADW	9964.5	AnAge	230	ADW	29325.6826566437
Panthera_tigris	9694	423	ADW	9599.5	AnAge	370	ADW	NA
Panthera_uncia	29064	NA	NA	6480	EOL Uncia uncia	114.657	EOL Uncia uncia	NA
Pantherophis_guttatus	94885	0.9	ADW	11789.5	ADW	182	ADW	NA
Panurus_biarmicus	181101	0.0138	AnAge;EOL	2591.5	AnAge;EOL	NA	NA	NA
Papilio_polytes	76194	NA	NA	43	ADW	NA	NA	NA
Papio_anubis	9555	25	ADW	13687.5	ADW	175	EOL	NA
Paragonimus_kellicotti	100269	NA	NA	7300	ADW text	1.6	ADW	NA
Paragonimus_westermani	34504	NA	NA	7300	ADW	1.2	ADW	NA
Paralichthys_olivaceus	8255	9.1	fishbase	NA	NA	103	EOL;fishbase	NA
Parambassis_ranga	210632	0.01153	fishbase	NA	NA	9.5	fishbase;EOL	NA
Paramormyrops_kingsleyae	1676925	NA	NA	NA	NA	13.5	EOL;fishbase	NA
Parasteatoda_tepidariorum	114398	NA	NA	NA	NA	0.6	ADW text	NA
Pardalotus_punctatus	254575	0.015	EOL	1460	AnAge	NA	NA	NA
Parelaphostrongylus_tenuis	148309	NA	NA	NA	NA	9	EOL	NA
Parus_major	9157	0.0179	AnAge;EOL	5621	AnAge;EOL	NA	NA	NA
Passer_montanus	9160	0.0205	AnAge	4781.5	AnAge	NA	NA	NA
Passerina_amoena	142471	0.018	ADW	3613.5	AnAge;EOL;ADW text	15	ADW	NA
Patagioenas_fasciata	372321	0.47	EOL	6752.5	AnAge;EOL	NA	NA	NA
Patella_vulgata	6465	0.00312	EOL	NA	NA	3	EOL	NA
Patiria_miniata	46514	NA	NA	NA	NA	10.16	ADW text	NA
Pecten_maximus	6579	0.270519	EOL	8030	EOL	15	EOL	NA
Pediculus_humanus	121225	NA	NA	NA	NA	0.35	ADW text	NA
Pedionomus_torquatus	227192	0.095	EOL	839.5	AnAge	NA	NA	NA
Pelecanoides_urinatrix	37079	0.185	ADW;EOL	2372.5	ADW	25	ADW	NA
Pelecanus_crispus	36300	9.55	AnAge;EOL	12884.5	AnAge;EOL	NA	NA	28755.4984385817
Penaeus_japonicus	27405	NA	NA	NA	NA	30	EOL	NA
Penaeus_monodon	6687	0.32	ADW	1095	ADW	35	EOL	NA
Penaeus_vannamei	6689	0.32	ADW Penaeus monodon	730	ADW Penaeus monodon	17.4	ADW Penaeus monodon	NA
Penelope_pileata	1118817	1.1	EOL	NA	NA	NA	NA	NA
Perca_flavescens	8167	1.9	fishbase	4380	AnAge;ADW	50	fishbase;EOL	NA
Perca_fluviatilis	8168	4.8	fishbase	8030	AnAge;fishbase;EOL	60	EOL;fishbase	NA
Periophthalmus_magnuspinnatus	409849	NA	NA	NA	NA	10.3	EOL;fishbase	NA
Periplaneta_americana	6978	NA	NA	NA	NA	5.3	ADW text	NA
Perognathus_longimembris	38669	0.008	AnAge	3029.5	AnAge	NA	NA	NA
Peromyscus_californicus	42520	0.0544	ADW	2007.5	AnAge;ADW	28.5	ADW	NA
Peromyscus_leucopus	10041	0.025	ADW	2883.5	AnAge	20.5	ADW	NA
Peromyscus_maniculatus	10042	0.024	ADW	3029.5	ADW;AnAge	22.2	ADW	NA
Petromyzon_marinus	7757	2.5	ADW;fishbase	4015	fishbase	120	EOL;fishbase	NA
Peucedramus_taeniatus	135441	0.0121	EOL	NA	NA	NA	NA	NA
Phacochoerus_africanus	41426	150	ADW	10950	AnAge	150	ADW	NA
Phaethon_lepturus	97097	0.367	EOL	NA	NA	NA	NA	NA
Phaetusa_simplex	297813	0.275	EOL	NA	NA	NA	NA	NA
Phainopepla_nitens	161653	NA	NA	NA	NA	16	ADW	NA
Phalacrocorax_carbo	9209	3.7	ADW	11716.5	AnAge	160	EOL	NA
Phascolarctos_cinereus	38626	11.8	ADW	8066.5	AnAge	78	ADW	NA
Phasianus_colchicus	9054	1.263	ADW	9855	AnAge	53.6	ADW	NA
Pheucticus_melanocephalus	371919	0.054	ADW	9125	AnAge;ADW	20	ADW format	NA
Phoca_vitulina	9720	170	ADW	17374	AnAge;ADW	190	ADW	NA
Phocoena_sinus	42100	55	ADW	NA	NA	152	EOL	NA
Phodopus_roborovskii	109678	0.0272	ADW	1752	AnAge	10.6	ADW	NA
Photinus_pyralis	7054	NA	NA	30	ADW	1.4	ADW	NA
Phrynocephalus_forsythii	171643	0.00458	EOL	NA	NA	NA	NA	NA
Phrynosoma_platyrhinos	52577	NA	NA	NA	NA	8.7	EOL	NA
Phyllostomus_discolor	89673	0.1204	ADW Phyllostomus hastatus	3285	AnAge	13.4	ADW Phyllostomus hastatus	NA
Phyllostomus_hastatus	9423	0.12041	ADW	6570	AnAge;ADW	13.795	ADW	NA
Physeter_catodon	9755	50000	ADW	28105	ADW	1900	ADW text	NA
Piaya_cayana	33601	0.129	EOL	NA	NA	NA	NA	NA
Picathartes_gymnocephalus	175131	0.226	EOL	NA	NA	NA	NA	NA
Pieris_rapae	64459	NA	NA	42	ADW	3.5	ADW text	NA
Piliocolobus_tephrosceles	591936	5.5	ADW Piliocolobus kirkii	7738	ADW format	126.9	EOL	NA
Pimephales_promelas	90988	0.005	ADW format	1825	fishbase	10.1	EOL;fishbase	NA
Pipistrellus_kuhlii	59472	0.006	AnAge	2920	AnAge	4.599	EOL	NA
Pipra_filicauda	649802	0.019	EOL	NA	NA	NA	NA	NA
Piprites_chloris	114369	0.0185	EOL	NA	NA	NA	NA	NA
Pitangus_sulphuratus	371930	0.074	EOL	2490	ADW	26	ADW text	NA
Pitta_sordida	9163	0.082	EOL	NA	NA	NA	NA	NA
Platysteira_castanea	1160851	0.015	EOL	NA	NA	NA	NA	NA
Platysternon_megacephalum	55544	NA	NA	9855	AnAge;EOL	40	ADW	NA
Plectropomus_leopardus	160734	23.6	fishbase	9490	AnAge;fishbase;EOL	120	fishbase;EOL	NA
Pleuronectes_platessa	8262	7	fishbase	18250	AnAge;EOL;fishbase	100	EOL;fishbase	NA
Ploceus_nigricollis	441696	0.04	EOL	NA	NA	NA	NA	NA
Plutella_xylostella	51655	NA	NA	NA	NA	0.8	EOL image	NA
Pluvianellus_socialis	227228	0.087	EOL	NA	NA	NA	NA	NA
Pocillopora_damicornis	46731	NA	NA	NA	NA	0.144	EOL	NA
Podarcis_muralis	64176	0.00541	AnAge	3650	AnAge;EOL	NA	NA	NA
Podarcis_raffonei	65483	0.01556	EOL Podarcis raffoneae	NA	NA	NA	NA	NA
Podiceps_cristatus	345573	1.49	ADW	7008	AnAge	90	EOL	NA
Podilymbus_podiceps	9252	0.568	ADW	1825	ADW	38.1	ADW	NA
Poecilia_formosa	48698	NA	NA	NA	NA	9.6	fishbase;EOL	NA
Poecilia_latipinna	48699	NA	NA	NA	NA	15	EOL;fishbase	NA
Poecilia_mexicana	48701	NA	NA	NA	NA	11	EOL;fishbase	NA
Poecilia_reticulata	8081	NA	NA	1825	AnAge;EOL	6	fishbase;EOL	NA
Poeciliopsis_prolifica	188132	NA	NA	NA	NA	3	EOL;fishbase	NA
Pogona_vitticeps	103695	0.5	AnAge;EOL	4380	AnAge;EOL	60.96	ADW text	278937.639850788
Pogonomyrmex_barbatus	144034	NA	NA	10220	Ingram 2013	1.1	EOL image	NA
Pogonophryne_albipinna	1090488	NA	NA	NA	NA	3.8	EOL;fishbase	NA
Polioptila_caerulea	66707	0.0065	AnAge;ADW	1533	AnAge;EOL	NA	NA	NA
Polistes_canadensis	91411	NA	NA	506	Southon 2015	2	Polistes_dominula	NA
Polistes_dominula	743375	NA	NA	506	Southon 2015 Polistes_canadensis	2	EOL image;ADW	NA
Polistes_fuscatus	30207	NA	NA	365	ADW	2.1	ADW	NA
Pollicipes_pollicipes	41117	NA	NA	NA	NA	5	EOL	NA
Polyodon_spathula	7913	90.7	fishbase	20075	AnAge;ADW;fishbase	250	ADW	NA
Polypterus_senegalus	55291	0.207	fishbase	12410	AnAge;EOL	70	EOL;fishbase	NA
Pomacea_canaliculata	400727	0.0514	EOL	1460	ADW	8	EOL	NA
Pomatorhinus_ruficollis	932028	0.035	EOL	NA	NA	NA	NA	NA
Pomatostomus_ruficeps	9176	0.071	EOL	3029.5	AnAge	NA	NA	NA
Pomphorhynchus_laevis	141832	NA	NA	NA	NA	2.5	EOL	NA
Pongo_abelii	9601	90	ADW	21170	ADW	180	ADW	47741.2237127153
Pongo_pygmaeus	9600	87	ADW	21600	EOL	141	EOL	NA
Pontoporia_blainvillei	48723	40.5	AnAge;ADW	7665	ADW	177	EOL	NA
Populus_trichocarpa	3694	NA	NA	NA	NA	NA	NA	682075.165693741
Prionailurus_bengalensis	37029	7	ADW	7300	ADW	107	ADW error unit	NA
Prionailurus_viverrinus	61388	12	ADW	6278	AnAge	85.7	ADW	NA
Pristionchus_pacificus	54126	0.0000000011492	Lynch et al. 2023	NA	NA	NA	NA	1774847.87018256
Pristis_pectinata	685728	350	fishbase;EOL	21900	ADW	760	fishbase;EOL	NA
Probosciger_aterrimus	141839	1.1	ADW	36500	ADW text	68	ADW	NA
Procambarus_clarkii	6728	NA	NA	NA	NA	11.938	ADW text	NA
Prochilodus_magdalenae	148989	0.905	EOL;fishbase	NA	NA	51	fishbase	NA
Promerops_cafer	254652	0.035	EOL	NA	NA	NA	NA	NA
Propithecus_coquereli	379532	4.3	ADW	11315	ADW	NA	NA	NA
Protopterus_annectens	7888	4	EOL;fishbase	6570	AnAge;EOL	100	EOL;fishbase	NA
Prunella_fulvescens	670355	0.021	EOL	NA	NA	NA	NA	NA
Prunella_himalayana	670356	0.0271	EOL	NA	NA	NA	NA	NA
Psammomys_obesus	48139	0.212	AnAge	1460	ADW	18.5	ADW	NA
Pseudoatta_argentina	621737	NA	NA	NA	NA	0.6	EOL image	NA
Pseudochaenichthys_georgianus	52239	2.1	fishbase	NA	NA	60	EOL;fishbase	NA
Pseudoliparis_swirei	2059687	NA	NA	NA	NA	22.6	EOL;fishbase	NA
Psophia_crepitans	54359	1.1	EOL	NA	NA	NA	NA	NA
Pterocles_burchelli	2585816	0.2	EOL	NA	NA	NA	NA	NA
Pterocles_gutturalis	240206	0.4	EOL	NA	NA	NA	NA	NA
Pteronotus_parnellii	59476	0.02	ADW	NA	NA	10.2	ADW	NA
Pteropus_alecto	9402	0.6721	AnAge	7409.5	AnAge	25.46	EOL	NA
Pteropus_giganteus	143291	1.6	ADW	16060	AnAge	23	ADW	NA
Pteropus_vampyrus	132908	1.1	ADW	10950	ADW	NA	NA	NA
Pteruthius_melanotis	357074	0.015	EOL	NA	NA	NA	NA	NA
Ptilonorhynchus_violaceus	28724	0.29	EOL	9161.5	AnAge	NA	NA	NA
Ptilorrhoa_leucosticta	449384	0.051	EOL	NA	NA	NA	NA	NA
Puma_concolor	9696	120	ADW	9855	AnAge	154	ADW	NA
Puma_yagouaroundi	1608482	9	ADW	6789	AnAge	77	ADW	NA
Pundamilia_nyererei	303518	NA	NA	NA	NA	7.7	EOL Haplochromis nyererei;fishbase	NA
Pungitius_pungitius	134920	NA	NA	1825	AnAge;fishbase;EOL	9	EOL;fishbase	NA
Puntigrus_tetrazona	1606681	NA	NA	NA	NA	7	EOL;fishbase	NA
Pycnonotus_jocosus	182897	0.0277	AnAge	4051.5	AnAge;EOL	NA	NA	NA
Pygocentrus_nattereri	42514	3.9	fishbase	NA	NA	50	fishbase;EOL	NA
Pygoscelis_adeliae	9238	4.99	ADW	5840	ADW	69.85	ADW	83258.9757054979
Pygoscelis_antarcticus	79643	5	ADW	NA	NA	72	ADW text	NA
Pygoscelis_papua	30457	8.5	ADW	14965	AnAge	95	ADW	NA
Quiscalus_mexicanus	64278	0.1687	AnAge	4562.5	AnAge;ADW	45	ADW text	NA
Ramphastos_sulfuratus	322582	0.537	EOL	NA	NA	52	ADW text	NA
Rana_temporaria	8407	0.127	EOL	9855	AnAge;EOL	10.9	EOL	NA
Rangifer_tarandus	9870	318	ADW	7957	AnAge	230	ADW	98558.0204872194
Rattus_norvegicus	10116	0.5	ADW	1460	ADW	40	ADW text	NA
Rattus_rattus	10117	0.3	ADW	1533	AnAge	41.4	EOL	NA
Regulus_satrapa	13245	0.0063	ADW	2299.5	AnAge;ADW;EOL	11.375	ADW	NA
Rhabdornis_inornatus	237438	0.0472	EOL	NA	NA	NA	NA	NA
Rhagoletis_pomonella	28610	NA	NA	103	ADW	0.7	ADW	NA
Rhagologus_leucostigma	156170	0.0295	EOL	NA	NA	NA	NA	NA
Rhincodon_typus	259920	34000	fishbase	54750	ADW	2000	fishbase;EOL;ADW	NA
Rhinolophus_ferrumequinum	59479	0.034	ADW	11132.5	AnAge	7.1	ADW	NA
Rhinopithecus_bieti	61621	17	ADW	8395	ADW	83	ADW	NA
Rhinopithecus_roxellana	61622	14.75	AnAge;EOL	10767.5	AnAge;EOL	76	ADW	NA
Rhinopomastus_cyanomelas	113115	0.035	EOL	NA	NA	NA	NA	NA
Rhinoptilus_africanus	240209	0.0955	EOL	NA	NA	NA	NA	NA
Rhipicephalus_microplus	6941	NA	NA	NA	NA	0.2	EOL image	NA
Rhipidura_dahli	667186	0.011	EOL	NA	NA	NA	NA	NA
Rhodinocichla_rosea	58203	0.0518	EOL	NA	NA	NA	NA	NA
Rhopalosiphum_maidis	43146	NA	NA	35	ADW	0.256	ADW	NA
Rissa_tridactyla	75485	0.317	AnAge;ADW	10402.5	AnAge	120	EOL	NA
Rostratula_benghalensis	118793	0.121	EOL	NA	NA	NA	NA	NA
Rousettus_aegyptiacus	9407	0.17	ADW	9125	ADW	19.2	ADW	92628.255074453
Rynchops_niger	227184	0.365	ADW	7373	AnAge	50	ADW	NA
Sagittarius_serpentarius	56258	4.27	ADW	6789	ADW	120	ADW text	NA
Saimiri_boliviensis	27679	1.135	ADW	11059.5	AnAge	73.7	EOL	72202.4415880832
Sakesphorus_luctuosus	419690	0.034	EOL	NA	NA	NA	NA	NA
Salarias_fasciatus	181472	0.018	EOL	NA	NA	14	fishbase;EOL	NA
Salmo_salar	8030	46.8	fishbase	4745	ADW;AnAge;fishbase	150	EOL;fishbase	111066.856865733
Salmo_trutta	8032	50	fishbase	13870	AnAge;fishbase;ADW	140	fishbase;EOL	NA
Salvelinus_fontinalis	8038	8	fishbase	8760	AnAge;ADW;fishbase	86	EOL;fishbase	NA
Salvelinus_namaycush	8040	32.7	fishbase	18250	AnAge;fishbase;EOL	150	fishbase;EOL	NA
Sander_lucioperca	283035	20	fishbase	6205	EOL;fishbase	100	EOL;fishbase	NA
Sapajus_apella	9515	2.643	AnAge	16790	AnAge	94.3	EOL	NA
Sapayoa_aenigma	239371	0.0208	EOL	NA	NA	NA	NA	NA
Sarcophilus_harrisii	9305	12	ADW	4745	AnAge	80	ADW	25387.5842839747
Sarcoptes_scabiei	52283	NA	NA	60	ADW	0.045	ADW	NA
Scatophagus_argus	75038	1.336	EOL	NA	NA	45	fishbase	NA
Sceloporus_undulatus	8520	0.015	ADW	1825	ADW	19	ADW	NA
Schistocerca_americana	7009	NA	NA	NA	NA	9.4	EOL	NA
Schistosoma_haematobium	6185	NA	NA	NA	NA	1.5	ADW text	NA
Schistosoma_mansoni	6183	NA	NA	80	ADW	1.4	ADW	NA
Sciurus_carolinensis	30640	0.75	ADW	8640	EOL	52.5	ADW	NA
Scleropages_formosus	113540	NA	NA	NA	NA	90	fishbase;EOL	NA
Sclerurus_mexicanus	265632	0.0277	EOL	NA	NA	NA	NA	NA
Scomber_japonicus	13676	2.9	fishbase	6570	AnAge;EOL;fishbase	64	EOL;fishbase	NA
Scophthalmus_maximus	52904	25	fishbase	9490	AnAge	110	EOL	NA
Scortum_barcoo	214431	NA	NA	NA	NA	35	fishbase;EOL	NA
Scyliorhinus_canicula	7830	3.7	fishbase	4380	AnAge;fishbase;EOL	100	EOL;fishbase	NA
Scyliorhinus_torazame	75743	NA	NA	NA	NA	77.8	EOL;fishbase	NA
Scytalopus_superciliaris	312124	0.02	EOL	NA	NA	NA	NA	NA
Sebastes_umbrosus	72105	0.57	EOL;fishbase	NA	NA	29.8	EOL;fishbase	NA
Semnornis_frantzii	91796	0.0573	EOL	NA	NA	NA	NA	NA
Sepia_pharaonis	158019	5	ADW	240	ADW	80	ADW	NA
Serilophus_lunatus	239386	0.035	EOL	NA	NA	NA	NA	NA
Serinus_canaria	9135	0.0243	AnAge;EOL	8760	AnAge;EOL	NA	NA	NA
Seriola_aureovittata	2871759	96.8	fishbase	4380	ADW;fishbase	250	ADW;EOL Seriola lalandi;fishbase	NA
Seriola_dumerili	41447	80.6	fishbase	5475	fishbase;EOL	190	fishbase;EOL	NA
Seriola_lalandi	302047	96.8	fishbase	4380	ADW;fishbase	250	ADW;EOL;fishbase	NA
Silurus_asotus	30991	30	fishbase	NA	NA	130	fishbase;EOL	NA
Silurus_meridionalis	175797	10.8	fishbase;EOL	NA	NA	114	fishbase;EOL	NA
Simochromis_diagramma	43689	NA	NA	NA	NA	19.5	EOL;fishbase	NA
Siniperca_chuatsi	119488	8	fishbase	3285	fishbase;EOL	70	fishbase;EOL	NA
Sinocyclocheilus_anshuiensis	1608454	NA	NA	NA	NA	10	EOL;fishbase	NA
Sinocyclocheilus_grahami	75366	0.25	EOL;fishbase	NA	NA	23	fishbase	NA
Sinocyclocheilus_rhinocerous	307959	NA	NA	NA	NA	9.7	EOL;fishbase	NA
Sitta_europaea	50251	0.022	EOL	4708.5	AnAge;EOL	NA	NA	NA
Smithornis_capensis	363769	0.0285	EOL	NA	NA	NA	NA	NA
Soboliphyme_baturini	241478	NA	NA	NA	NA	3.53	EOL	NA
Solea_senegalensis	28829	NA	NA	NA	NA	60	EOL;fishbase	NA
Solenopsis_invicta	13686	NA	NA	2482	Romiguier 2014	0.7	EOL image	NA
Sorex_araneus	42254	0.014	ADW	1168	AnAge	8	ADW	NA
Sorex_cinereus	36803	0.0043	AnAge	730	ADW	9.9	ADW	NA
Sparus_aurata	8175	17.2	fishbase	4015	AnAge;fishbase;EOL	70	fishbase;EOL	NA
Spea_bombifrons	233779	0.0239	EOL	NA	NA	6.5	ADW text	NA
Sphaeramia_orbicularis	375764	NA	NA	NA	NA	10	EOL;fishbase	NA
Sphaerodactylus_townsendi	933632	0.0005	EOL	NA	NA	NA	NA	NA
Spheniscus_demersus	92683	3.135	AnAge	9964.5	AnAge	45	ADW	NA
Spheniscus_magellanicus	37081	7.5	ADW	10950	AnAge;ADW	16.9	ADW	NA
Spizaetus_tyrannus	252798	1.15	EOL	NA	NA	NA	NA	NA
Spizella_passerina	40210	0.0155	ADW	4307	AnAge	14.7	ADW	NA
Spodoptera_exigua	7107	NA	NA	40	ADW	3	ADW	NA
Steatornis_caripensis	48435	0.4	ADW	NA	NA	49	ADW	NA
Stegastes_partitus	144197	NA	NA	NA	NA	10	EOL;fishbase	NA
Stegostoma_fasciatum	378071	NA	NA	12045	ADW	354	fishbase;EOL	NA
Steinernema_carpocapsae	34508	NA	NA	NA	NA	0.51	Chapter 4. Steinernematidae: species descriptions	NA
Stercorarius_parasiticus	54059	0.45	ADW	11550	ADW	125	EOL	NA
Stomoxys_calcitrans	35570	NA	NA	NA	NA	0.8	ADW	NA
Strigops_habroptila	2489341	4	ADW	21900	ADW text;AnAge	64	ADW	NA
Strongylocentrotus_purpuratus	7668	NA	NA	18250	AnAge;EOL	10	ADW text	NA
Strongyloides_ratti	34506	NA	NA	401.5	AnAge	NA	NA	NA
Strongylus_vulgaris	40348	NA	NA	NA	NA	6	ADW	NA
Struthidea_cinerea	181839	0.132	AnAge	9125	AnAge;ADW	47	ADW	NA
Struthio_camelus	8801	130	ADW	18250	ADW;AnAge	200	ADW text	NA
Sturnus_vulgaris	9172	0.1	ADW	8358.5	AnAge	21.5	ADW	NA
Styela_clava	7725	NA	NA	NA	NA	12	EOL	NA
Sula_dactylatra	56068	2.353	ADW	9307.5	AnAge	86	ADW	NA
Suncus_etruscus	109475	0.003	ADW	1168	AnAge	5	ADW	NA
Suricata_suricatta	37032	0.776	AnAge;ADW	7519	ADW;AnAge	29	ADW text	NA
Sus_scrofa	9823	272	ADW	9855	AnAge;ADW	240	ADW	320431.309425731
Sylvietta_virens	208069	0.01	EOL	NA	NA	NA	NA	NA
Symphalangus_syndactylus	9590	12	ADW	15695	AnAge	90	ADW	NA
Synchiropus_splendidus	270530	0.004	EOL	5475	ADW	7	EOL;fishbase	NA
Syngnathus_acus	161584	NA	NA	NA	NA	50	fishbase;EOL	NA
Syngnathus_scovelli	161590	0.0025	Lynch et al. 2023	1095	AnAge;EOL;fishbase	18.3	EOL;fishbase	331375.428889966
Syrrhaptes_paradoxus	302527	0.256	EOL	NA	NA	NA	NA	NA
Tachuris_rubrigastra	495162	0.0095	EOL	NA	NA	NA	NA	NA
Tachyglossus_aculeatus	9261	7	ADW	18250	ADW	45	ADW	NA
Tachysurus_fulvidraco	1234273	0.3	fishbase	NA	NA	34.5	EOL;fishbase	NA
Taeniopygia_guttata	59729	0.0157	EOL	4380	AnAge;ADW	11	ADW	425278.857580565
Takifugu_bimaculatus	433685	NA	NA	NA	NA	30	EOL;fishbase	NA
Takifugu_flavidus	433684	NA	NA	NA	NA	35	EOL;fishbase	NA
Takifugu_rubripes	31033	NA	NA	NA	NA	80	fishbase;EOL	NA
Talpa_occidentalis	50954	NA	NA	2520	EOL Talpa europaea	13	EOL Talpa europaea	NA
Tauraco_erythrolophus	121530	0.325	EOL	NA	NA	NA	NA	NA
Tegillarca_granosa	220873	NA	NA	2737.5	EOL	NA	NA	NA
Teladorsagia_circumcincta	45464	NA	NA	NA	NA	1.22	EOL	NA
Terrapene_carolina	158814	0.372	AnAge	50370	AnAge;ADW;EOL	18	ADW	NA
Tetranychus_urticae	32264	NA	NA	29	Comparative life table analysis of Tetranychus urticae Koch (Acari: Tetranychidae) on ten rose cultivars	0.03	EOL image	NA
Tetraodon_nigroviridis	99883	NA	NA	NA	NA	17	fishbase;EOL Dichotomyctere nigroviridis	NA
Thalassarche_chlororhynchos	54017	3.89	AnAge;EOL	13505	AnAge;EOL	NA	NA	NA
Thalassophryne_amazonica	390379	NA	NA	NA	NA	9.3	EOL;fishbase	NA
Thamnophis_elegans	35005	0.4	AnAge	6497	AnAge	107	ADW	NA
Thamnophis_sirtalis	35019	0.15	AnAge;ADW	7300	ADW	137	ADW	130372.110598497
Theropithecus_gelada	9565	21	ADW	13140	AnAge	74	ADW	NA
Thinocorus_orbignyianus	161742	0.14	EOL	NA	NA	NA	NA	NA
Thrips_palmi	161013	NA	NA	30	Capinera 2008	1	EOL image	NA
Thryothorus_ludovicianus	74200	0.02	ADW	3358	AnAge	14	ADW	NA
Thunnus_albacares	8236	200	fishbase	3285	AnAge;fishbase;EOL	239	fishbase;EOL	NA
Thunnus_maccoyii	8240	260	fishbase	7300	AnAge;fishbase;EOL	245	fishbase;EOL	NA
Tichodroma_muraria	237442	0.018	EOL	NA	NA	NA	NA	NA
Tinamus_guttatus	94827	0.8	EOL	NA	NA	NA	NA	NA
Todus_mexicanus	135184	0.0059	AnAge;EOL	5110	AnAge	NA	NA	NA
Tokudaia_osimensis	73109	0.08465	EOL	NA	NA	NA	NA	NA
Toxocara_canis	6265	NA	NA	NA	NA	18.4	EOL	NA
Toxostoma_redivivum	99882	0.0844	AnAge;EOL	2518.5	AnAge;EOL	NA	NA	NA
Toxotes_jaculatrix	941984	NA	NA	NA	NA	30	EOL;fishbase	NA
Trachemys_scripta	34903	3.2	ADW	15074.5	ADW;AnAge	29	ADW	NA
Trachypithecus_francoisi	54180	14	ADW	9599.5	AnAge;ADW	76	ADW	NA
Trematomus_bernacchii	40690	NA	NA	3650	AnAge;fishbase;EOL	35	fishbase;EOL	NA
Tribolium_castaneum	7070	NA	NA	170	Grunwald 2013	0.5	EOL image	NA
Trichechus_manatus	9778	1500	ADW;EOL	25185	AnAge	450	ADW	NA
Trichinella_pseudospiralis	6337	NA	NA	NA	NA	0.246	ADW	NA
Trichinella_spiralis	6334	NA	NA	NA	NA	0.32	ADW	NA
Trichogramma_pretiosum	7493	NA	NA	10.5	Oliveira 2017	0.0387	Greenberg 1998	NA
Trichosurus_vulpecula	9337	4.5	ADW	5803.5	AnAge	58	ADW	NA
Trichuris_suis	68888	NA	NA	NA	NA	8	Pittman et al. 2010	NA
Trichuris_trichiura	36087	NA	NA	NA	NA	5	ADW;EOL	NA
Triplophysa_rosa	992332	NA	NA	NA	NA	5.6	EOL;fishbase	NA
Triplophysa_tibetana	1572043	NA	NA	NA	NA	13.9	EOL;fishbase	NA
Trogon_melanurus	56311	0.114	EOL	NA	NA	NA	NA	NA
Turdus_rufiventris	311356	0.0668	EOL	NA	NA	NA	NA	NA
Turnix_velox	2529409	0.064	EOL	NA	NA	NA	NA	NA
Tursiops_truncatus	9739	500	ADW	19345	ADW	381	ADW	35265.6768271818
Tympanuchus_pallidicinctus	109042	0.8	ADW	4927.5	AnAge	41	ADW	NA
Tyrannus_savana	137541	0.04	EOL	NA	NA	41	ADW	NA
Tyto_alba	56313	0.62	ADW	12410	ADW;AnAge	40	ADW	NA
Upupa_epops	57439	0.086	EOL	4051.5	AnAge;EOL	NA	NA	NA
Uria_aalge	13746	1.044	ADW	15622	AnAge	71	EOL	NA
Urocitellus_parryii	9999	NA	NA	NA	NA	27.892	EOL	NA
Urocolius_indicus	458196	0.065	EOL	NA	NA	NA	NA	NA
Ursus_americanus	9643	409	ADW	12410	AnAge	200	ADW	NA
Ursus_arctos	9644	600	ADW	18250	ADW	280	ADW	NA
Ursus_maritimus	29073	800	ADW	15995	ADW format	250	ADW;EOL	NA
Vanessa_cardui	171605	NA	NA	365	ADW	7.3	ADW	NA
Varanus_komodoensis	61221	165	ADW	22630	AnAge	310	ADW	NA
Vespa_crabro	7445	NA	NA	NA	NA	2.5	EOL	NA
Vespa_mandarinia	7446	NA	NA	365	ADW text	5.5	ADW	NA
Vespula_pensylvanica	30213	NA	NA	NA	NA	13	EOL image	NA
Vicugna_pacos	30538	65	ADW Lama pacos	9417	ADW Lama pacos;AnAge	225	ADW Lama pacos	93808.0098961722
Vidua_chalybeata	81927	0.0134	EOL	NA	NA	NA	NA	NA
Vireo_altiloquus	34956	0.0262	EOL	NA	NA	NA	NA	NA
Vombatus_ursinus	29139	35	ADW	10950	AnAge;ADW	110	ADW	NA
