species	NCBI.taxid	mass_kg	mass_db	lifespan_days	lifespan_db	length_cm	length_db	polymorphism_derived_Ne
Brachypteracias_leptosomus	135165	0.217	EOL	NA	NA	NA	NA	NA
Branchiostoma_belcheri	7741	NA	NA	NA	NA	6	EOL	NA
Branchiostoma_floridae	7739	NA	NA	NA	NA	6	EOL	NA
Branchiostoma_lanceolatum	7740	NA	NA	NA	NA	6	EOL	NA
Brienomyrus_brachyistius	42636	NA	NA	NA	NA	20	EOL;fishbase	NA
Brugia_malayi	6279	NA	NA	NA	NA	8	ADW	NA
Bubalus_bubalis	89462	1200	ADW	12738.5	ADW;AnAge	300	ADW	NA
Bucco_capensis	135168	0.054	EOL	NA	NA	NA	NA	NA
Buceros_rhinoceros	175835	2.58	ADW	25550	ADW text	150	ADW text	NA
Budorcas_taxicolor	37181	400	ADW	7993.5	AnAge	220	ADW	NA
Bufo_bufo	8384	0.164	BDJ biodiversity data journal	14600	AnAge;EOL	11.3	EOL	NA
Buphagus_erythrorhynchus	245048	0.059	EOL	NA	NA	NA	NA	NA
Burhinus_bistriatus	240201	0.787	EOL	NA	NA	NA	NA	NA
Caenorhabditis_angaria	860376	NA	NA	NA	NA	0.0849	Vielle et al. 2016	NA
Caenorhabditis_brenneri	135651	NA	NA	NA	NA	0.1273	Vielle et al. 2016	NA
Caenorhabditis_briggsae	6238	0.000000000102	Lynch et al. 2023	NA	NA	0.1061	Vielle et al. 2016	279618.889809445
Caenorhabditis_elegans	6239	0.0000000001786858	Lynch et al. 2023	58.4	AnAge;ADW;EOL	0.14	http://nemaplex.ucdavis.edu/	124155.298307105
Caenorhabditis_nigoni	1611254	NA	NA	NA	NA	0.1266	Vielle et al. 2016	11538461.5384615
Caenorhabditis_remanei	31234	NA	NA	NA	NA	0.1187	Vielle et al. 2016	NA
Calcarius_ornatus	198940	0.025	ADW	1460	ADW	16.5	ADW	NA
Calidris_pugnax	198806	0.11	BirdFacts	4015	https://www.oiseaux.net/	25	BirdFacts	NA
Caligus_rogercresseyi	217165	NA	NA	NA	NA	0.516	EOL	NA
Callithrix_jacchus	9483	0.36	ADW	8322	AnAge	52.5	EOL	NA
Callorhinchus_milii	7868	4	ADW	5475	ADW	125	EOL;fishbase	NA
Callorhinus_ursinus	34884	275	ADW	12600	EOL	213	ADW	NA
